mois,annee,TNN,TNM,TMM,TXM,TXX,RR,ENS,Rafale,nombre_d_incendies,surface_moyenne
3,2023,-6.2,5.3,11.630434782608695,17.5,29.2,130.6,129.2,109.3,0.0,0.0
4,2006,-0.5,6.2,14.777777777777779,21.8,32.3,29.2,218.6,75.9,32.0,6327.8125
4,2007,-1.1,8.2,15.88888888888889,21.7,31.8,35.4,216.6,83.5,31.0,10230.645161290322
4,2008,-3.1,5.8,14.345454545454546,22.1,28.4,86.5,182.3,90.7,10.0,6682.0
4,2009,1.9,6.6,14.4,22.2,28.3,116.3,226.4,87.0,25.0,13323.2
4,2010,-0.6,7.1,14.481818181818182,20.9,31.8,27.6,249.9,70.6,47.0,38034.04255319149
4,2011,1.1,7.4,16.416666666666668,25.1,31.9,35.8,304.4,55.0,44.0,12732.704545454546
4,2012,-2.0,5.0,13.358333333333334,23.7,33.7,202.0,259.3,109.8,8.0,3643.125
4,2013,-1.2,5.6,12.416666666666666,18.4,31.4,93.3,219.6,81.7,10.0,1050.0
4,2014,1.1,7.3,14.471428571428572,20.7,27.9,82.9,232.1,82.1,12.0,92379.16666666667
4,2015,0.7,7.4,14.421428571428573,21.5,32.7,43.0,225.1,62.8,31.0,50111.93548387097
4,2016,-1.7,5.4,12.51875,21.3,29.8,91.0,203.0,109.8,4.0,695.0
4,2017,-3.0,2.9,12.695,20.9,29.6,27.8,298.1,93.2,51.0,218910.98039215687
4,2018,-0.1,7.9,14.305555555555555,22.1,30.0,103.4,175.5,83.9,10.0,23565.0
4,2019,-2.8,5.2,12.80952380952381,19.1,27.1,107.4,190.4,99.7,9.0,23542.777777777777
4,2020,-1.8,7.7,15.220833333333333,22.0,27.8,199.3,188.3,79.2,11.0,90038.18181818182
4,2021,-4.6,3.4,12.375,19.6,28.9,31.4,257.4,61.2,25.0,129732.08
4,2022,-5.8,5.9,12.689655172413794,18.9,26.8,95.8,182.3,100.8,4.0,307.5
4,2023,-3.1,5.9,13.4125,20.3,30.2,72.4,213.3,98.6,0.0,0.0
5,2006,1.3,10.3,19.133333333333333,27.2,33.3,60.0,257.6,90.7,26.0,5641.923076923077
5,2007,7.3,12.7,18.01111111111111,24.1,30.0,141.8,199.2,100.0,5.0,32490.0
5,2008,5.8,10.4,17.7,23.8,32.4,153.9,212.0,70.6,5.0,500.0
5,2009,3.7,11.1,18.48181818181818,25.6,34.4,78.4,285.9,68.3,9.0,6861.111111111111
5,2010,2.8,8.4,17.0,24.5,32.1,41.2,223.4,74.1,28.0,4066.8928571428573
5,2011,2.3,9.4,18.0,25.4,40.1,138.6,322.3,57.0,49.0,2369.938775510204
5,2012,-0.2,9.9,17.900000000000002,25.7,35.7,52.7,269.2,73.4,18.0,901.3888888888889
5,2013,0.1,7.3,14.799999999999999,22.7,31.7,163.7,192.0,84.2,4.0,1137.5
5,2014,2.0,8.3,15.6,26.5,31.8,84.1,260.6,80.6,12.0,10800.416666666666
5,2015,2.2,9.9,16.835714285714285,27.1,39.2,39.0,227.3,101.5,12.0,4185.916666666667
5,2016,-1.3,9.7,16.288235294117644,23.5,33.4,100.6,236.4,70.2,16.0,7593.25
5,2017,0.0,10.1,17.905,24.9,36.0,115.2,302.3,86.0,6.0,4450.0
5,2018,-0.9,9.0,16.53333333333333,26.0,29.9,101.6,214.2,67.7,3.0,4066.6666666666665
5,2019,-1.6,7.4,15.02857142857143,22.2,30.4,265.2,221.1,98.3,8.0,2002.5
5,2020,4.8,10.0,17.841666666666665,25.3,33.1,199.3,294.2,79.2,8.0,3193.75
5,2021,-1.8,7.4,14.421428571428573,20.9,32.3,294.4,222.9,93.6,7.0,2335.714285714286
5,2022,4.0,10.0,18.782758620689656,27.1,36.2,37.2,293.0,92.9,20.0,11243.75
5,2023,3.4,9.3,16.929166666666667,25.6,33.7,144.6,282.4,68.5,0.0,0.0
6,2006,4.5,14.1,23.200000000000003,31.2,37.7,24.6,257.6,75.9,61.0,4034.590163934426
6,2007,7.7,13.8,19.49,24.6,32.8,75.9,215.3,75.9,2.0,510.0
6,2008,6.7,13.0,19.545454545454547,26.1,35.3,86.0,256.4,70.6,13.0,2055.3846153846152
6,2009,7.9,12.7,20.681818181818183,27.1,35.4,76.4,293.0,83.5,17.0,4614.117647058823
6,2010,5.1,12.7,20.509090909090908,28.2,35.8,101.5,281.8,81.3,8.0,2068.75
6,2011,3.1,11.1,18.775,25.2,40.1,104.4,241.8,74.0,67.0,12875.820895522387
6,2012,4.8,11.3,19.291666666666668,26.8,37.2,73.1,250.2,76.7,8.0,4225.0
6,2013,5.2,11.4,19.599999999999998,30.0,35.5,177.5,211.8,74.5,7.0,4275.714285714285
6,2014,6.3,13.0,20.92142857142857,27.6,35.6,67.1,321.1,74.2,12.0,4166.666666666667
6,2015,6.2,12.3,20.5,29.1,41.3,50.8,321.9,50.4,20.0,12118.0
6,2016,8.6,12.7,19.594117647058823,27.3,37.4,113.0,266.8,88.2,4.0,1875.0
6,2017,0.0,12.1,21.104761904761904,28.3,39.2,172.8,275.6,99.7,26.0,3858.5
6,2018,8.0,13.6,21.03333333333333,28.7,35.7,101.6,236.3,94.7,6.0,2155.0
6,2019,5.3,12.5,20.6,31.8,39.5,85.3,240.4,117.0,9.0,8162.222222222223
6,2020,5.7,11.6,18.37391304347826,25.5,36.7,98.0,303.1,82.8,7.0,961.4285714285714
6,2021,5.3,13.1,20.11111111111111,27.1,36.2,294.4,249.5,88.5,2.0,2000.0
6,2022,6.8,13.7,20.939285714285713,28.9,43.2,135.0,253.5,109.4,23.0,9680.869565217392
6,2023,10.7,14.9,21.891666666666666,30.0,34.6,164.0,266.2,64.8,0.0,0.0
7,2006,10.4,14.8,21.833333333333332,31.2,38.8,38.5,227.5,90.7,167.0,2742.4071856287424
7,2007,7.0,14.1,20.02,25.5,36.4,69.5,232.9,75.9,10.0,1077.0
7,2008,8.3,13.2,20.209090909090907,26.6,34.4,28.8,262.3,72.2,30.0,3732.6666666666665
7,2009,8.8,14.1,21.727272727272727,28.5,36.2,47.2,285.8,71.0,28.0,3483.214285714286
7,2010,9.6,14.7,20.900000000000002,28.2,38.7,90.8,310.2,74.1,56.0,11918.75
7,2011,5.3,12.6,20.025000000000002,27.8,39.2,322.8,244.2,72.0,42.0,78036.42857142857
7,2012,4.8,11.3,20.633333333333333,29.9,40.8,46.8,282.5,87.1,25.0,1799.6
7,2013,7.7,12.6,22.25,30.4,37.5,82.5,355.0,121.3,17.0,1538.9411764705883
7,2014,9.9,14.7,20.57857142857143,26.8,38.5,81.6,283.9,61.2,12.0,1498.6666666666667
7,2015,7.1,14.6,22.266666666666666,31.0,38.5,41.6,291.6,58.0,102.0,74381.53921568628
7,2016,6.7,13.2,21.49411764705882,28.6,41.3,12.7,313.8,59.4,37.0,3191.864864864865
7,2017,0.0,13.3,21.395238095238096,27.4,38.5,47.8,222.1,87.5,24.0,1745.5
7,2018,-17.8,-1.0,21.585,30.1,35.9,83.8,287.7,122.4,17.0,4967.294117647059
7,2019,8.6,13.7,22.833333333333332,31.8,42.9,66.4,324.7,82.1,26.0,33976.92307692308
7,2020,6.6,13.2,21.67391304347826,30.3,40.6,75.3,328.1,57.6,32.0,93613.125
7,2021,8.0,14.0,20.02857142857143,28.0,35.8,71.4,226.7,70.4,2.0,50.0
7,2022,6.6,13.0,23.348148148148148,33.4,42.7,13.5,361.0,64.8,53.0,3462931.169811321
7,2023,8.7,14.1,21.708333333333332,30.6,39.2,72.6,258.4,70.4,0.0,0.0
8,2006,8.3,14.0,20.522222222222222,26.3,35.0,73.5,218.8,72.2,44.0,1627.0454545454545
8,2007,5.5,11.5,18.66,25.9,36.8,97.1,254.8,83.5,6.0,1245.0
8,2008,5.7,11.7,18.636363636363637,26.1,34.4,100.2,240.7,68.5,21.0,5961.9047619047615
8,2009,7.2,13.2,20.636363636363637,28.5,36.2,35.1,270.9,57.6,44.0,5472.159090909091
8,2010,5.7,12.3,19.39090909090909,26.8,39.2,26.2,287.2,83.5,80.0,4774.25
8,2011,5.7,12.6,20.48333333333333,27.8,39.2,104.0,257.3,96.1,32.0,3571.0
8,2012,4.2,11.3,20.833333333333332,29.9,40.8,22.0,271.1,76.7,33.0,196231.21212121213
8,2013,6.2,12.1,19.907692307692308,27.8,37.5,44.1,306.3,108.4,19.0,2864.7368421052633
8,2014,5.3,12.8,19.92142857142857,26.4,31.1,79.5,247.7,88.2,13.0,24625.384615384617
8,2015,6.7,12.1,20.233333333333334,29.0,37.2,132.0,263.1,112.0,27.0,9418.148148148148
8,2016,6.6,12.5,22.305882352941175,31.0,39.3,16.4,336.6,51.5,48.0,5450.479166666667
8,2017,6.3,13.6,21.7,29.6,37.7,54.6,293.4,65.9,48.0,4593.958333333333
8,2018,-17.8,-16.5,20.275,30.8,38.9,46.6,283.2,90.0,44.0,4841.795454545455
8,2019,6.6,13.4,22.166666666666668,30.4,37.2,48.8,271.8,58.7,47.0,16046.255319148937
8,2020,6.8,14.4,22.47391304347826,30.4,41.8,120.2,259.4,82.8,47.0,6712.148936170212
8,2021,6.5,12.5,20.24230769230769,26.8,35.9,41.6,249.3,74.1,10.0,9801.9
8,2022,10.7,15.0,24.44074074074074,33.7,41.7,37.8,283.0,90.7,95.0,721074.9263157895
8,2023,6.3,15.2,22.47826086956522,30.9,41.6,79.9,250.3,78.5,0.0,0.0
9,2006,7.8,13.6,19.166666666666668,26.3,35.0,131.5,204.2,114.8,28.0,3028.035714285714
9,2007,1.6,8.9,15.5,23.6,31.3,91.6,267.5,50.0,26.0,2346.923076923077
9,2008,1.5,8.9,15.245454545454544,22.8,30.5,70.6,219.3,72.2,16.0,1876.5625
9,2009,1.5,10.9,17.227272727272727,25.2,35.1,95.6,256.2,66.5,51.0,16284.901960784313
9,2010,0.3,9.2,16.045454545454547,24.4,34.5,47.8,261.1,111.1,68.0,5988.75
9,2011,-1.0,7.3,17.658333333333335,26.3,32.1,49.3,236.7,70.2,12.0,91420.83333333333
9,2012,-2.8,8.8,16.958333333333332,25.9,35.4,71.4,229.7,110.5,33.0,6053.272727272727
9,2013,-0.8,10.3,17.715384615384615,25.0,35.4,95.3,188.8,85.7,10.0,3787.0
9,2014,4.2,11.6,19.135714285714283,28.4,33.6,69.2,288.1,59.8,37.0,12563.513513513513
9,2015,1.6,8.6,16.533333333333335,23.8,29.4,52.0,239.4,90.0,16.0,1820.25
9,2016,0.0,11.3,20.15625,27.9,38.3,65.4,245.3,98.3,66.0,22042.075757575756
9,2017,0.0,9.9,17.142857142857142,23.3,30.0,460.3,205.9,79.6,6.0,5108.333333333333
9,2018,-17.8,10.4,20.215,35.6,35.6,31.4,258.7,57.6,27.0,7277.2962962962965
9,2019,2.4,10.3,19.361904761904764,27.5,34.8,68.7,222.1,75.6,34.0,6257.058823529412
9,2020,0.9,8.8,19.325,28.1,38.1,116.2,233.3,111.6,35.0,62236.514285714286
9,2021,2.5,12.2,19.9,26.7,36.7,105.2,193.3,68.8,9.0,66870.0
9,2022,1.9,10.4,19.553571428571427,30.2,40.9,399.2,232.7,84.2,32.0,1081114.375
9,2023,5.4,13.1,21.991666666666664,30.4,38.7,140.0,244.8,88.9,0.0,0.0
10,2006,2.2,8.2,14.722222222222221,22.7,27.3,88.9,164.3,164.8,2.0,7505.0
10,2007,-6.3,3.5,10.65,19.3,27.3,48.2,186.4,53.5,11.0,6725.909090909091
10,2008,-2.3,6.6,11.360000000000001,18.7,26.3,140.2,159.4,103.5,5.0,28.0
10,2009,-4.0,8.8,13.9,21.0,30.3,53.0,194.1,83.5,18.0,3243.8888888888887
10,2010,-1.9,6.8,11.836363636363636,19.0,29.2,132.1,182.7,101.9,12.0,3786.6666666666665
10,2011,-1.0,7.3,13.966666666666667,21.7,31.3,40.3,188.3,72.0,19.0,10638.421052631578
10,2012,-4.9,4.5,12.700000000000001,19.7,29.4,116.8,130.9,90.4,0.0,0.0
10,2013,-6.0,5.3,13.615384615384615,21.5,28.4,105.0,157.1,82.1,1.0,20.0
10,2014,1.1,9.6,15.778571428571428,24.3,30.8,47.0,207.3,86.0,12.0,1460.0
10,2015,-1.7,7.3,13.653333333333334,19.7,26.2,73.2,174.7,70.2,9.0,17380.555555555555
10,2016,-1.7,5.8,13.64375,19.9,26.7,36.8,194.0,60.8,16.0,1398.8125
10,2017,-2.6,8.8,16.29047619047619,22.3,30.0,43.2,213.6,76.7,9.0,5028.888888888889
10,2018,0.3,7.4,16.071428571428573,35.6,35.6,76.0,172.2,86.4,8.0,5282.5
10,2019,-2.4,5.8,16.19047619047619,21.5,31.8,151.4,128.5,93.6,2.0,275050.0
10,2020,0.1,8.2,13.532,18.9,26.6,223.1,137.9,130.3,0.0,0.0
10,2021,-2.3,5.7,14.4,21.5,28.8,53.4,209.1,93.2,2.0,5250.0
10,2022,6.3,12.0,18.82962962962963,24.9,31.2,70.4,131.0,77.8,3.0,21843.333333333332
10,2023,2.2,8.9,17.75,24.8,35.8,194.0,168.5,113.0,0.0,0.0
11,2006,-4.8,2.4,8.7,17.4,22.7,76.1,140.1,94.6,9.0,2264.4444444444443
11,2007,-9.2,1.2,6.95,12.6,16.4,55.6,139.6,107.2,6.0,296.6666666666667
11,2008,-3.0,2.7,7.754545454545456,12.9,20.4,130.3,81.5,129.5,0.0,0.0
11,2009,-6.4,4.1,9.990909090909092,16.0,21.2,244.0,80.6,114.8,0.0,0.0
11,2010,-5.6,1.4,7.463636363636365,13.8,20.3,233.7,109.3,111.1,0.0,0.0
